epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,56.1185,1.0406,2.31364,0.27189,3.40196,1.54031,0.27979,0.57515,0.30517,0.23402,0.27931,0.57209,0.30161,0.23324,0.94269,0.89001,0.21561,1.95923,1.18559,0.000766204,0.000255401,0.000766204,0.000255401,0.000766204,0.000255401,0.000766204,0.000255401
2,100.662,0.91334,1.75486,0.22036,2.36572,1.40488,0.49658,0.69509,0.63843,0.50597,0.49409,0.69157,0.63465,0.5072,0.836,0.78065,0.1839,1.28468,1.08915,0.00152507,0.000508357,0.00152507,0.000508357,0.00152507,0.000508357,0.00152507,0.000508357
3,145.627,0.83836,1.55964,0.20217,1.77357,1.30857,0.68057,0.82282,0.83473,0.67065,0.67929,0.82091,0.83012,0.68765,0.8139,0.76308,0.16622,0.80361,1.03502,0.00227379,0.000757929,0.00227379,0.000757929,0.00227379,0.000757929,0.00227379,0.000757929
4,190.852,0.77303,1.41186,0.19465,1.45314,1.23603,0.83615,0.86683,0.90481,0.7303,0.83218,0.86278,0.89894,0.74505,0.79712,0.75795,0.15844,0.64681,1.02101,0.00226132,0.000753774,0.00226132,0.000753774,0.00226132,0.000753774,0.00226132,0.000753774
5,235.758,0.72091,1.38348,0.1927,1.31193,1.20054,0.86336,0.85829,0.91856,0.78979,0.8627,0.8576,0.91839,0.75363,0.61444,0.73665,0.1584,0.56595,0.89265,0.0022461,0.000748698,0.0022461,0.000748698,0.0022461,0.000748698,0.0022461,0.000748698
6,281.036,0.68689,1.32483,0.18741,1.16538,1.17596,0.86042,0.89261,0.93633,0.83398,0.85765,0.88979,0.93311,0.77407,0.48207,0.73994,0.14838,0.46629,0.81869,0.00223087,0.000743623,0.00223087,0.000743623,0.00223087,0.000743623,0.00223087,0.000743623
7,326.391,0.66572,1.33221,0.18492,1.10608,1.16295,0.84551,0.92532,0.93597,0.84733,0.84221,0.92202,0.9315,0.77471,0.44809,0.74389,0.14457,0.43057,0.78651,0.00221564,0.000738548,0.00221564,0.000738548,0.00221564,0.000738548,0.00221564,0.000738548
8,370.749,0.64704,1.28066,0.18383,1.03433,1.15366,0.89345,0.9403,0.95817,0.87175,0.89197,0.93892,0.95584,0.78906,0.44296,0.75653,0.14759,0.40553,0.77928,0.00220042,0.000733472,0.00220042,0.000733472,0.00220042,0.000733472,0.00220042,0.000733472
9,415.069,0.63124,1.27306,0.1853,0.98298,1.14315,0.94244,0.90998,0.9661,0.89563,0.93909,0.90716,0.96166,0.81416,0.39223,0.70367,0.14183,0.37443,0.76191,0.00218519,0.000728397,0.00218519,0.000728397,0.00218519,0.000728397,0.00218519,0.000728397
10,461.138,0.63094,1.2656,0.18108,0.96322,1.13939,0.96084,0.91734,0.96703,0.89399,0.95695,0.91417,0.96191,0.81456,0.41332,0.71831,0.14505,0.35186,0.76606,0.00216996,0.000723321,0.00216996,0.000723321,0.00216996,0.000723321,0.00216996,0.000723321
11,509.822,0.61571,1.19829,0.1788,0.89939,1.13027,0.95709,0.92799,0.97037,0.90489,0.95183,0.92304,0.96209,0.81414,0.39808,0.72084,0.13722,0.34365,0.75088,0.00215474,0.000718246,0.00215474,0.000718246,0.00215474,0.000718246,0.00215474,0.000718246
12,559.259,0.60538,1.19762,0.17907,0.89198,1.12789,0.95713,0.93916,0.96598,0.90492,0.95384,0.93639,0.96167,0.81921,0.39815,0.69453,0.13619,0.33392,0.74638,0.00213951,0.000713171,0.00213951,0.000713171,0.00213951,0.000713171,0.00213951,0.000713171
13,610.123,0.59705,1.17988,0.17685,0.84832,1.11727,0.94836,0.92297,0.96869,0.914,0.94231,0.91734,0.95953,0.81812,0.37035,0.67659,0.13691,0.32914,0.73179,0.00212429,0.000708095,0.00212429,0.000708095,0.00212429,0.000708095,0.00212429,0.000708095
14,661.059,0.58516,1.18448,0.17495,0.81222,1.11131,0.95196,0.94155,0.97064,0.89634,0.93522,0.95096,0.96484,0.82371,0.42169,0.6576,0.13739,0.33639,0.76099,0.00210906,0.00070302,0.00210906,0.00070302,0.00210906,0.00070302,0.00210906,0.00070302
15,711.61,0.58044,1.13174,0.17125,0.78771,1.10643,0.93794,0.93716,0.97503,0.92168,0.93355,0.93295,0.96771,0.83321,0.34402,0.66564,0.13525,0.30294,0.72002,0.00209383,0.000697944,0.00209383,0.000697944,0.00209383,0.000697944,0.00209383,0.000697944
16,761.957,0.58007,1.1016,0.16633,0.78022,1.10392,0.95317,0.93021,0.97668,0.91667,0.94951,0.9267,0.97165,0.83864,0.36946,0.65023,0.12979,0.31212,0.73009,0.00207861,0.000692869,0.00207861,0.000692869,0.00207861,0.000692869,0.00207861,0.000692869
17,812.616,0.57379,1.11219,0.1693,0.76663,1.10658,0.97175,0.91886,0.97999,0.93006,0.9686,0.91604,0.97564,0.84751,0.33305,0.63794,0.1299,0.30013,0.71401,0.00206338,0.000687794,0.00206338,0.000687794,0.00206338,0.000687794,0.00206338,0.000687794
18,863.328,0.55803,1.11355,0.16826,0.73335,1.09467,0.96886,0.95452,0.98366,0.921,0.96586,0.95183,0.97857,0.84258,0.36646,0.66439,0.12809,0.30598,0.73402,0.00204815,0.000682718,0.00204815,0.000682718,0.00204815,0.000682718,0.00204815,0.000682718
19,913.865,0.55657,1.11776,0.16743,0.7337,1.09537,0.95178,0.95853,0.98277,0.93368,0.95035,0.95715,0.97973,0.85209,0.34187,0.6264,0.12735,0.29066,0.71625,0.00203293,0.000677643,0.00203293,0.000677643,0.00203293,0.000677643,0.00203293,0.000677643
20,963.995,0.55482,1.05604,0.16621,0.69813,1.092,0.96148,0.96082,0.98383,0.93525,0.95629,0.9557,0.97774,0.84149,0.33383,0.66846,0.13247,0.28479,0.71794,0.0020177,0.000672567,0.0020177,0.000672567,0.0020177,0.000672567,0.0020177,0.000672567
21,1014.2,0.54957,1.03028,0.16544,0.69539,1.08474,0.94251,0.95476,0.98189,0.92678,0.93907,0.95133,0.97755,0.84548,0.35967,0.62013,0.12376,0.29612,0.71792,0.00200248,0.000667492,0.00200248,0.000667492,0.00200248,0.000667492,0.00200248,0.000667492
22,1064.7,0.54925,1.02789,0.16472,0.68579,1.08687,0.95178,0.97027,0.98245,0.93941,0.96477,0.94915,0.97907,0.84688,0.32269,0.61222,0.11924,0.28127,0.71093,0.00198725,0.000662417,0.00198725,0.000662417,0.00198725,0.000662417,0.00198725,0.000662417
23,1114.97,0.54383,1.07275,0.1643,0.67123,1.08675,0.97373,0.95557,0.98131,0.94068,0.97086,0.95291,0.97803,0.84762,0.31927,0.62094,0.12582,0.27774,0.71844,0.00197202,0.000657341,0.00197202,0.000657341,0.00197202,0.000657341,0.00197202,0.000657341
24,1165.07,0.53448,1.05258,0.16301,0.65178,1.07689,0.95974,0.96171,0.98192,0.94161,0.96374,0.95011,0.97609,0.85748,0.30547,0.6016,0.11771,0.27002,0.70171,0.0019568,0.000652266,0.0019568,0.000652266,0.0019568,0.000652266,0.0019568,0.000652266
25,1215.24,0.53498,1.07791,0.16418,0.63827,1.08132,0.9767,0.95593,0.98327,0.94199,0.97384,0.95121,0.97557,0.84986,0.3141,0.61258,0.11855,0.26231,0.71572,0.00194157,0.00064719,0.00194157,0.00064719,0.00194157,0.00064719,0.00194157,0.00064719
26,1265.12,0.53133,1.06996,0.16151,0.64649,1.08008,0.96602,0.9627,0.98626,0.93763,0.96322,0.95994,0.98313,0.85625,0.33574,0.61761,0.11942,0.27606,0.71476,0.00192635,0.000642115,0.00192635,0.000642115,0.00192635,0.000642115,0.00192635,0.000642115
27,1315.47,0.52702,1.00507,0.16036,0.62525,1.07651,0.97184,0.96514,0.97996,0.94444,0.97116,0.96355,0.97631,0.84942,0.3082,0.60354,0.1181,0.26359,0.6994,0.00191112,0.00063704,0.00191112,0.00063704,0.00191112,0.00063704,0.00191112,0.00063704
28,1365.73,0.521,1.00494,0.15719,0.62343,1.07144,0.96428,0.96849,0.9838,0.94455,0.96133,0.96575,0.979,0.86231,0.32064,0.59522,0.12394,0.2632,0.70513,0.00189589,0.000631964,0.00189589,0.000631964,0.00189589,0.000631964,0.00189589,0.000631964
